distance,fraction_intensity,n,norm_intensity,fraction_mode,sample,type
3,4256,22420,0.189830508474576,0.912325830653805,R.sinicus472,brightfield
4,5649,31388,0.179973238180196,0.864951768488746,R.sinicus472,brightfield
5,6273,35872,0.174871766280107,0.840434083601286,R.sinicus472,brightfield
6,8292,49324,0.168112886221718,0.807950891552178,R.sinicus472,brightfield
7,9427,58292,0.161720304673025,0.77722813092588,R.sinicus472,brightfield
8,8585,53808,0.159548765982753,0.766791711325473,R.sinicus472,brightfield
9,10738,67260,0.159649122807018,0.767274026438014,R.sinicus472,brightfield
10,11839,76228,0.155310384635567,0.746422041485404,R.sinicus472,brightfield
11,10412,71744,0.145127118644068,0.697481243301179,R.sinicus472,brightfield
12,13332,103132,0.129271225225924,0.621277785544527,R.sinicus472,brightfield
13,9168,85196,0.107610685947697,0.517177187341344,R.sinicus472,brightfield
14,9988,112100,0.0890990187332739,0.428210075026795,R.sinicus472,brightfield
15,7058,107616,0.0655850431162652,0.315201857806359,R.sinicus472,brightfield
16,5043,112100,0.0449866190900981,0.21620578778135,R.sinicus472,brightfield
17,3722,121068,0.0307430534906003,0.147751180977333,R.sinicus472,brightfield
18,2339,116584,0.0200627873464626,0.0964217989941463,R.sinicus472,brightfield
19,1878,156940,0.0119663565693896,0.0575103353238402,R.sinicus472,brightfield
20,962,147972,0.00650122996242532,0.0312449251356004,R.sinicus472,brightfield
21,691,147972,0.00466980239504771,0.0224430803208938,R.sinicus472,brightfield
22,436,152456,0.00285984152804744,0.0137444045142173,R.sinicus472,brightfield
23,234,156940,0.00149101567478017,0.00716582452916858,R.sinicus472,brightfield
24,217,192812,0.00112544862352966,0.00540890849722077,R.sinicus472,brightfield
25,123,170392,0.000721864876285272,0.00346928414283297,R.sinicus472,brightfield
26,98,183844,0.000533060638367311,0.0025618905706742,R.sinicus472,brightfield
27,61,201780,0.000302309445931212,0.0014528998451828,R.sinicus472,brightfield
28,34,192812,0.000176337572350269,0.000847478750716618,R.sinicus472,brightfield
29,18,206264,8.72668037078695e-05,0.000419404445687124,R.sinicus472,brightfield
30,18,219716,8.19239381747347e-05,0.00039372662248179,R.sinicus472,brightfield
31,26,228684,0.000113694005702192,0.000546413635121787,R.sinicus472,brightfield
32,23,233168,9.8641322994579e-05,0.000474070409761728,R.sinicus472,brightfield
33,8,228684,3.49827709852897e-05,0.000168127272345165,R.sinicus472,brightfield
34,4,237652,1.68313332099036e-05,8.08914234868248e-05,R.sinicus472,brightfield
35,2,233168,8.5775063473547e-06,4.12235138923242e-05,R.sinicus472,brightfield
36,6,273524,2.19359178719235e-05,0.000105424068314796,R.sinicus472,brightfield
37,1,273524,3.65598631198725e-06,1.7570678052466e-05,R.sinicus472,brightfield
38,0,273524,0,0,R.sinicus472,brightfield
39,0,260072,0,0,R.sinicus472,brightfield
40,0,237652,0,0,R.sinicus472,brightfield
41,0,192812,0,0,R.sinicus472,brightfield
42,0,161424,0,0,R.sinicus472,brightfield
43,0,156940,0,0,R.sinicus472,brightfield
44,0,130036,0,0,R.sinicus472,brightfield
45,0,121068,0,0,R.sinicus472,brightfield
46,0,98648,0,0,R.sinicus472,brightfield
47,0,85196,0,0,R.sinicus472,brightfield
48,0,94164,0,0,R.sinicus472,brightfield
49,0,62776,0,0,R.sinicus472,brightfield
50,0,58292,0,0,R.sinicus472,brightfield
51,0,49324,0,0,R.sinicus472,brightfield
52,0,26904,0,0,R.sinicus472,brightfield
53,0,40356,0,0,R.sinicus472,brightfield
54,0,13452,0,0,R.sinicus472,brightfield
55,0,13452,0,0,R.sinicus472,brightfield
0,3.98036993846984,4484,0.000887682858713166,1,R.sinicus472,mirfp670
1,7.91106630494612,8968,0.00088214387878525,0.993760181495511,R.sinicus472,mirfp670
2,19.4559427895176,22420,0.000867794058408458,0.977594700506507,R.sinicus472,mirfp670
3,18.960940038065,22420,0.000845715434347234,0.952722502238277,R.sinicus472,mirfp670
4,25.6558599370041,31388,0.000817377976838413,0.920799549991682,R.sinicus472,mirfp670
5,28.0442341766927,35872,0.00078178618913617,0.88070438835497,R.sinicus472,mirfp670
6,36.2047343082982,49324,0.000734018617879698,0.826892860073667,R.sinicus472,mirfp670
7,39.2923596901524,58292,0.000674060929289652,0.759348817737461,R.sinicus472,mirfp670
8,32.840314785706,53808,0.000610324018467625,0.687547374016419,R.sinicus472,mirfp670
9,36.5475719602148,67260,0.000543377519479851,0.612130237895504,R.sinicus472,mirfp670
10,35.8214247355676,76228,0.000469924761709182,0.529383616115345,R.sinicus472,mirfp670
11,28.7435906706491,71744,0.000400641038562794,0.451333530472341,R.sinicus472,mirfp670
12,34.3677945295188,103132,0.00033324084211999,0.375405291258045,R.sinicus472,mirfp670
13,23.3689411693457,85196,0.000274296224815082,0.309002502552225,R.sinicus472,mirfp670
14,25.8462428225646,112100,0.000230564164340452,0.259737092000053,R.sinicus472,mirfp670
15,21.1346781767689,107616,0.000196389739228079,0.22123862965291,R.sinicus472,mirfp670
16,19.415621794452,112100,0.000173199123946941,0.195113741632929,R.sinicus472,mirfp670
17,18.9917316385858,121068,0.000156868302429922,0.176716606488636,R.sinicus472,mirfp670
18,16.9178644316695,116584,0.000145113089546332,0.163474024672162,R.sinicus472,mirfp670
19,21.2600750882986,156940,0.000135466261554088,0.152606598431412,R.sinicus472,mirfp670
20,19.0077525239193,147972,0.000128455062605894,0.144708283307519,R.sinicus472,mirfp670
21,18.2740275848457,147972,0.000123496523564226,0.139122347978256,R.sinicus472,mirfp670
22,18.2961661922082,152456,0.000120009485964529,0.135194100896013,R.sinicus472,mirfp670
23,18.4208102471468,156940,0.000117374858207893,0.132226117757919,R.sinicus472,mirfp670
24,22.2269652763398,192812,0.000115277914633632,0.129863851151463,R.sinicus472,mirfp670
25,19.3373781950899,170392,0.000113487594459188,0.127847004530093,R.sinicus472,mirfp670
26,20.5978703984503,183844,0.000112039938200051,0.126216178560067,R.sinicus472,mirfp670
27,22.3492028530624,201780,0.000110760248057599,0.124774571200083,R.sinicus472,mirfp670
28,21.0879979514365,192812,0.000109370775425993,0.123209290742127,R.sinicus472,mirfp670
29,22.3910256532143,206264,0.000108555180027607,0.122290499317486,R.sinicus472,mirfp670
30,23.6918515336462,219716,0.00010782943223819,0.121472923781029,R.sinicus472,mirfp670
31,24.5317741205627,228684,0.000107273679490313,0.120846852496197,R.sinicus472,mirfp670
32,24.8770700268152,233168,0.000106691613029297,0.12019113806474,R.sinicus472,mirfp670
33,24.4600074767368,228684,0.000106959854982145,0.120493320257642,R.sinicus472,mirfp670
34,25.3619697085757,237652,0.000106718940756129,0.120221923526647,R.sinicus472,mirfp670
35,24.7776825822121,233168,0.000106265364810832,0.119710957317437,R.sinicus472,mirfp670
36,28.9602334924358,273524,0.0001058782172403,0.119274824562667,R.sinicus472,mirfp670
37,28.8624247904834,273524,0.000105520629964769,0.118871992321376,R.sinicus472,mirfp670
38,28.7751050241173,273524,0.000105201390094168,0.118512359522943,R.sinicus472,mirfp670
39,27.4887950634582,260072,0.000105696864958389,0.119070526056584,R.sinicus472,mirfp670
40,24.9713050650197,237652,0.000105075089058875,0.118370077812697,R.sinicus472,mirfp670
41,20.3598422962798,192812,0.000105594269528244,0.118954949385098,R.sinicus472,mirfp670
42,16.9622335455558,161424,0.00010507875870723,0.118374211775991,R.sinicus472,mirfp670
43,16.6130986018867,156940,0.000105856369325135,0.119250212264536,R.sinicus472,mirfp670
44,13.8085887260597,130036,0.000106190506675534,0.119626627497881,R.sinicus472,mirfp670
45,12.7211127638893,121068,0.000105074113422946,0.118368978731061,R.sinicus472,mirfp670
46,10.4253816585334,98648,0.000105682645958695,0.119054507948817,R.sinicus472,mirfp670
47,8.94934200244796,85196,0.000105044157031409,0.118335232003564,R.sinicus472,mirfp670
48,9.8364409717655,94164,0.000104460738411341,0.117677994326457,R.sinicus472,mirfp670
49,6.66039624103713,62776,0.000106097811919159,0.119522204217128,R.sinicus472,mirfp670
50,6.08167581327174,58292,0.000104331225781784,0.117532094663885,R.sinicus472,mirfp670
51,5.18958579495097,49324,0.00010521421204588,0.118526803816403,R.sinicus472,mirfp670
52,2.85235112561311,26904,0.000106019592834267,0.119434088192216,R.sinicus472,mirfp670
53,4.22363012055833,40356,0.000104659285374128,0.117901663129835,R.sinicus472,mirfp670
54,1.40628318621894,13452,0.000104540825618417,0.117768214844167,R.sinicus472,mirfp670
55,1.4012624057742,13452,0.000104167588891927,0.117347753051055,R.sinicus472,mirfp670
0,2.84234477782287,4484,0.000633885989701799,0.937098978967237,R.sinicus472,af488
1,5.70233388876061,8968,0.000635853466632539,0.940007578704243,R.sinicus472,af488
2,14.3270288828646,22420,0.000639028942143825,0.94470201099602,R.sinicus472,af488
3,14.4205396751368,22420,0.000643199807097982,0.950867967261736,R.sinicus472,af488
4,20.3755763777076,31388,0.000649151789782961,0.959667021015154,R.sinicus472,af488
5,23.5619485368782,35872,0.000656833980176132,0.971023909936233,R.sinicus472,af488
6,32.8006346127095,49324,0.000665003540116566,0.983101296726868,R.sinicus472,af488
7,39.1578251835231,58292,0.000671752988120551,0.993079275315891,R.sinicus472,af488
8,36.3975824319694,53808,0.000676434404400264,1,R.sinicus472,af488
9,45.4338755234046,67260,0.000675496216524005,0.998613039386885,R.sinicus472,af488
10,50.8334560106619,76228,0.00066686068125442,0.985846782653918,R.sinicus472,af488
11,46.4584460935164,71744,0.000647558626414981,0.957311783969823,R.sinicus472,af488
12,62.7683088388861,103132,0.000608621076279778,0.899748848255862,R.sinicus472,af488
13,46.9837869734265,85196,0.000551478789772131,0.815273123579632,R.sinicus472,af488
14,53.7178560111417,112100,0.000479195860937928,0.708414382563508,R.sinicus472,af488
15,42.7457712463734,107616,0.000397206467870701,0.587206187749823,R.sinicus472,af488
16,35.8872002982172,112100,0.000320135595880618,0.473269239113368,R.sinicus472,af488
17,30.920966116205,121068,0.000255401643012233,0.377570450809159,R.sinicus472,af488
18,23.7959697072821,116584,0.000204110081205672,0.301744086164037,R.sinicus472,af488
19,25.6132617986899,156940,0.000163204165914935,0.241271237614879,R.sinicus472,af488
20,19.5586024599035,147972,0.000132177725920468,0.195403612028958,R.sinicus472,af488
21,16.7150329206667,147972,0.000112960782584994,0.166994437080926,R.sinicus472,af488
22,15.3521523034545,152456,0.00010069890528057,0.148867214064682,R.sinicus472,af488
23,14.4931947857353,156940,9.23486350562973e-05,0.13652267604303,R.sinicus472,af488
24,16.7238426530146,192812,8.67365239353081e-05,0.128226067998729,R.sinicus472,af488
25,14.1446578615282,170392,8.3012452823655e-05,0.122720624917437,R.sinicus472,af488
26,14.8671566104199,183844,8.0868326463849e-05,0.119550877273234,R.sinicus472,af488
27,16.040927616771,201780,7.94971137712905e-05,0.117523758777133,R.sinicus472,af488
28,15.145237942848,192812,7.85492497502643e-05,0.116122493532698,R.sinicus472,af488
29,16.0875695581638,206264,7.7995043042721e-05,0.115303187619312,R.sinicus472,af488
30,17.0294802428276,219716,7.75067825867375e-05,0.11458137268381,R.sinicus472,af488
31,17.6840835913939,228684,7.73297807953065e-05,0.114319703865252,R.sinicus472,af488
32,17.9698824627835,233168,7.70683904428717e-05,0.113933280066087,R.sinicus472,af488
33,17.5924317297156,228684,7.69290012843732e-05,0.113727215505219,R.sinicus472,af488
34,18.2566272798285,237652,7.68208442589521e-05,0.113567322654238,R.sinicus472,af488
35,17.8806113102026,233168,7.66855285039223e-05,0.113367279968429,R.sinicus472,af488
36,20.9672790344867,273524,7.66560851497006e-05,0.113323752681777,R.sinicus472,af488
37,20.9433082702295,273524,7.65684483636884e-05,0.113194195720389,R.sinicus472,af488
38,20.9392872755615,273524,7.65537476622217e-05,0.113172463086196,R.sinicus472,af488
39,19.8990512636513,260072,7.65136241642749e-05,0.11311314691646,R.sinicus472,af488
40,18.1783380652753,237652,7.64914162947306e-05,0.113080316135825,R.sinicus472,af488
41,14.7483492245284,192812,7.64908264243326e-05,0.113079444106854,R.sinicus472,af488
42,12.3444264594736,161424,7.64720640020912e-05,0.113051706868595,R.sinicus472,af488
43,12.0052279594934,156940,7.64956541321105e-05,0.113086581100103,R.sinicus472,af488
44,9.94770078876,130036,7.64995907960872e-05,0.113092400827709,R.sinicus472,af488
45,9.25775633485313,121068,7.64674095124486e-05,0.113044825950634,R.sinicus472,af488
46,7.54528766275113,98648,7.64869806052949e-05,0.11307375867895,R.sinicus472,af488
47,6.51338190090829,85196,7.64517336601283e-05,0.113021651711981,R.sinicus472,af488
48,7.19859131881916,94164,7.64473824266084e-05,0.11301521910966,R.sinicus472,af488
49,4.80075763985983,62776,7.64744112377315e-05,0.113055176880801,R.sinicus472,af488
50,4.45617162830218,58292,7.64456808533277e-05,0.113012703605911,R.sinicus472,af488
51,3.77051247371876,49324,7.64437692344246e-05,0.113009877583327,R.sinicus472,af488
52,2.05730047360308,26904,7.64682007732339e-05,0.113045995703059,R.sinicus472,af488
53,3.08479551409835,40356,7.64395756293575e-05,0.113003678009444,R.sinicus472,af488
54,1.02814925544386,13452,7.64309586265133e-05,0.112990939149936,R.sinicus472,af488
55,1.02812314169235,13452,7.6429017372313e-05,0.112988069316309,R.sinicus472,af488
0,3208,3948,0.187436676798379,0.949326491340603,R.sinicus200,brightfield
1,6337,7896,0.197441742654509,1,R.sinicus200,brightfield
2,15934,19740,0.192806484295846,0.976523412443874,R.sinicus200,brightfield
3,16158,19740,0.18145896656535,0.919050673508659,R.sinicus200,brightfield
4,22942,27636,0.169850919091041,0.860258407404013,R.sinicus200,brightfield
5,26421,31584,0.163468844984802,0.827934573444515,R.sinicus200,brightfield
6,36599,43428,0.157248779589205,0.796431278791766,R.sinicus200,brightfield
7,43597,51324,0.150553347361858,0.762520353283663,R.sinicus200,brightfield
8,40447,47376,0.146255488010807,0.740752619200342,R.sinicus200,brightfield
9,50882,59220,0.140797028031071,0.71310669232414,R.sinicus200,brightfield
10,57899,67116,0.137329399845044,0.695543900690488,R.sinicus200,brightfield
11,54694,63168,0.134150202634245,0.679441949967928,R.sinicus200,brightfield
12,79382,90804,0.125787410246245,0.637086203530691,R.sinicus200,brightfield
13,66846,75012,0.108862581986882,0.551365585226697,R.sinicus200,brightfield
14,89434,98700,0.0938804457953394,0.475484284797947,R.sinicus200,brightfield
15,87490,94752,0.0766421816953732,0.388176181312807,R.sinicus200,brightfield
16,93162,98700,0.0561094224924013,0.284182168056447,R.sinicus200,brightfield
17,102052,106596,0.0426282412098015,0.215902881714299,R.sinicus200,brightfield
18,99598,102648,0.0297131946068117,0.150490945872601,R.sinicus200,brightfield
