expt,moi_gvn_red,moi_gvn_nir,ratio_nir_mcherry,fold_ace2_dep_infxn
Fig 2D,0.00348125253409948,0.013846512019115,1.20265396612777,3.97745118559656
Fig 2D,0.0763564303500716,0.651518695340759,0.526174860734821,8.53259761298084
Fig 2D,0.00194206458723633,0.0460733001890015,0.385347184788264,23.7238763797071
Fig 2D,0.0680846519003908,1.21564151975656,0.264763523099796,17.8548540063782
Fig 2D,0.000433784070707425,0.0152694367481029,1.54025390605202,35.2005474133736
Fig 2D,0.00242175007092596,0.0214386238089865,0.660801851723694,8.85253357328876
Fig 2D,0.01332904839629,0.0432140511244856,0.739893933334257,3.24209574754892
Fig 2D,0.00725108569534153,0.0411861024661755,1.05546069708092,5.67999113465665
Fig 2D,0.146819368021587,1.54968044295619,0.385011976877286,10.5550137140513
Fig 2D,0.0548620020248423,0.207409975705314,2.2654366132016,3.78057613740373
Fig 2D,0.089947858780658,0.40071256435619,2.30922703595746,4.45494278338905
Fig 5A,0.0081240609996021,0.221595163186059,0.133201232937032,27.2764031679369
Fig 5A,0.00218471475229048,0.29866054259239,0.05480464625132,136.704593713788
Fig 5A,0.00272368586704838,0.462447417455419,0.136270909832721,169.787354353227
Fig 5A,0.000881908767242694,0.0856753680289971,0.239774330042313,97.1476542827246
Fig 5A,0.000364146293214366,0.0337350207151453,0.477427184466019,92.6413953506486
Fig 5A,0.000911415212691657,0.356875892699011,0.323858977862804,391.562361182297
Fig 5A,0.00128986151381145,0.034427659011396,0.704239472930392,26.6909731337473
Fig 5A,0.00863099006610456,0.0772895186789699,0.171918466893581,8.95488444396427
Fig 7D,0.000609260781662952,0.281639758056059,0.0111663790629968,462.26470918961
Fig 7D,0.00759017261905662,0.696712247867299,0.0724351338984714,91.7913574347527
Fig 7D,0.0037875436965014,0.383081021529315,0.0450645055708067,101.142337151957
Fig 7D,0.0087149854066569,0.575364144903562,0.0584563968824682,66.0200927547248
Fig 7D,0.00198085058977065,0.417513453806157,0.110158306824305,210.774833782137
Fig 7D,0.00631730328786542,0.351351062692051,0.216681660438952,55.6172541797927
Fig 7D,0.00458926918489207,0.37914126377319,0.227449633693723,82.6147363552628
Fig 7D,0.00446191957445539,0.454554716606575,0.10621157747809,101.874251434049
